GSM149579	GSM149580	GSM149581	GSM149582	GSM149583	GSM149584	GSM149585	GSM149586	GSM149587	GSM149588	GSM149589	GSM149590	GSM149591	GSM149592	GSM149593	GSM149594	GSM149595	GSM149596	GSM149597	GSM149598
Colorectal cancer (KEGG)	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
Renal cell carcinoma (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
Pancreatic cancer (KEGG)	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Endometrial cancer (KEGG)	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Glioma (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Prostate cancer (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Thyroid cancer (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Basal cell carcinoma (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Melanoma (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bladder cancer (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Chronic myeloid leukemia (KEGG)	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Acute myeloid leukemia (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	1	0	0	-1	-1
Small cell lung cancer (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non-small cell lung cancer (KEGG)	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	1	1	1	1	0	0
Asthma (KEGG)	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1
Autoimmune thyroid disease (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Systemic lupus erythematosus (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheumatoid arthritis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allograft rejection (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Graft-versus-host disease (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Primary immunodeficiency (KEGG)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hypertrophic cardiomyopathy (HCM) (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dilated cardiomyopathy (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Viral myocarditis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione metabolism (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine and aspartate metabolism (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Translation Factors (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1
Electron Transport Chain (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1
GPCRs, Other (Wikipathways)	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	-1	-1	-1
Osteoclast Signaling (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL-5 Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Matrix Metalloproteinases (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
Pentose Phosphate Pathway (Wikipathways)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0
Phase I, non P450 (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Androgen Receptor Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
AMPK signaling (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1
Sphingolipid Metabolism (Wikipathways)	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
Ganglio Sphingolipid Metabolism (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Globo Sphingolipid Metabolism (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP signalling and regulation (Wikipathways)	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Fatty Acid Beta Oxidation (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NOD pathway (Wikipathways)	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0
Osteopontin Signaling (Wikipathways)	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	1	1	1	1	-1	-1
Regulation of toll-like receptor signaling pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
Serotonin Transporter Activity (Wikipathways)	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	-1
TOR signaling (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1	1	0	0	-1	-1
Selenium Pathway (Wikipathways)	-1	-1	-1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	1	0	1	1	0	0
Physiological and Pathological Hypertrophy  of the Heart (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
miRNA regulation of DNA Damage Response (Wikipathways)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
Vitamin D synthesis (Wikipathways)	1	1	-1	-1	0	0	-1	0	-1	-1	-1	-1	1	0	0	1	-1	-1	-1	-1
Vitamin B12 Metabolism (Wikipathways)	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	-1	-1	0	-1	-1	-1	-1	-1
Angiogenesis (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Energy Metabolism (Wikipathways)	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0
MicroRNAs in cardiomyocyte hypertrophy (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
miRNAs involved in DDR (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0
Proteins and DNA Sequences in Cardicac Structures (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
TFs Regulate miRNAs related to cardiac hypertrophy (Wikipathways)	0	0	-1	0	-1	-1	-1	-1	0	0	-1	0	-1	0	0	0	0	-1	-1	-1
Type II diabetes mellitus (Wikipathways)	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heart Development (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Nicotine metabolism (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1
Fluoropyrimidine Activity (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	1	0
Nicotine Activity on Dopaminergic Neurons (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Codeine and morphine metabolism (Wikipathways)	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	-1	-1	0	1
Eicosanoid Synthesis (Wikipathways)	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
Nuclear Receptors (Wikipathways)	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	-1
Th1/Th2 (Wikipathways)	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	-1	-1	0	-1
TP53 network (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Folate Metabolism (Wikipathways)	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	0	-1	-1	-1	-1	-1
Apoptosis Modulation and Signaling (Wikipathways)	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0
Cell cycle (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteasome Degradation (Wikipathways)	-1	-1	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
Integrin-mediated cell adhesion (Wikipathways)	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Homologous recombination (Wikipathways)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1
IL-1 Signaling Pathway (Wikipathways)	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1
Cholesterol Biosynthesis (Wikipathways)	-1	-1	-1	-1	0	0	0	0	1	0	1	1	0	0	-1	-1	0	0	-1	-1
GP-VI signaling (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Integrated Cancer pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SREBP signalling (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Integrated Breast Cancer Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL-7 Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fatty Acid Omega Oxidation (Wikipathways)	0	0	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	0	0	-1
IL-9 Signaling Pathway (Wikipathways)	-1	-1	0	0	-1	0	-1	-1	0	0	-1	0	-1	-1	0	0	0	0	-1	-1
Irinotecan Pathway (Wikipathways)	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1
B Cell Receptor Signaling Pathway (Wikipathways)	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0
TNF-alpha/NF-kB Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	-1	-1
Adipogenesis (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)	-1	-1	1	1	1	0	1	1	-1	-1	-1	-1	-1	-1	0	0	1	1	0	-1
Peptide GPCRs (Wikipathways)	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	1	1	1	1	0	0
One Carbon Metabolism (Wikipathways)	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0
Alpha6-Beta4 Integrin Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Small Ligand GPCRs (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Apoptosis (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signal Transduction of S1P Receptor (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
EBV LMP1 signaling (Wikipathways)	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Notch Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Blood Clotting Cascade (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	0	0	0
Selenium Metabolism and Selenoproteins (Wikipathways)	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1
IL-3 Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	-1	0
NLR proteins (Wikipathways)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Myometrial Relaxation and Contraction Pathways (Wikipathways)	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	0	0	0	-1	-1
Nuclear receptors in lipid metabolism and toxicity (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Keap1-Nrf2 Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Kit Receptor Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
Focal Adhesion (Wikipathways)	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Signaling of Hepatocyte Growth Factor Receptor (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
FAS pathway and Stress induction of HSP regulation (Wikipathways)	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
Osteoblast Signaling (Wikipathways)	-1	-1	-1	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
Triacylglyceride Synthesis (Wikipathways)	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPCRs, Class B Secretin-like (Wikipathways)	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0
Ovarian Infertility Genes (Wikipathways)	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
G Protein Signaling Pathways (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
Fatty Acid Biosynthesis (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Wnt Signaling Pathway NetPath (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-6 Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	1	-1	-1
TGF-beta Receptor Signaling Pathway (Wikipathways)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
MAPK signaling pathway (Wikipathways)	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	-1	-1
Striated Muscle Contraction (Wikipathways)	1	1	-1	-1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
Apoptosis Modulation by HSP70 (Wikipathways)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mitochondrial Gene Expression (Wikipathways)	0	0	0	1	1	1	1	0	1	1	1	1	1	1	-1	-1	-1	-1	1	1
IL-4 signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	-1
Wnt Signaling Pathway and Pluripotency (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1
Sandbox Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p38 MAPK Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	1	1	1	1	-1	-1
Nucleotide Metabolism (Wikipathways)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	0	0	1	1
Eukaryotic Transcription Initiation (Wikipathways)	-1	-1	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	-1	-1
Oxidative Stress (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0
Diurnally regulated genes with circadian orthologs (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
mRNA processing (Wikipathways)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
MAPK Cascade (Wikipathways)	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	0	1	1	1	1	-1	-1
Wnt Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1
cytochrome P450 (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Statin Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
EGFR1 Signaling Pathway (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Non-homologous end joining (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G1 to S cell cycle control (Wikipathways)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
Inflammatory Response Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPCRs, Class A Rhodopsin-like (Wikipathways)	-1	-1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	-1	0
Tryptophan metabolism (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DNA Replication (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hedgehog Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Endochondral Ossification (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Cytoplasmic Ribosomal Proteins (Wikipathways)	1	1	0	0	1	1	1	1	1	1	1	1	1	1	-1	-1	0	0	0	0
Insulin Signaling (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
IL-2 Signaling Pathway (Wikipathways)	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	-1	0
Steroid Biosynthesis (Wikipathways)	1	0	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1
Urea cycle and metabolism of amino groups (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Glycogen Metabolism (Wikipathways)	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	1	-1	-1
GPCRs, Class C Metabotropic glutamate, pheromone (Wikipathways)	1	1	-1	0	1	0	0	0	0	0	-1	-1	-1	-1	1	0	0	0	-1	-1
Regulation of Actin Cytoskeleton (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
Hypertrophy Model (Wikipathways)	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1
G13 Signaling Pathway (Wikipathways)	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1
Acetylcholine Synthesis (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Id Signaling Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Cytokines and Inflammatory Response (Wikipathways)	-1	-1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	-1	-1
Mismatch repair (Wikipathways)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	0	0	1	1
Glycolysis and Gluconeogenesis (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Calcium Regulation in the Cardiac Cell (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Complement Activation, Classical Pathway (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Biogenic Amine Synthesis (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	0
ACE Inhibitor Pathway (Wikipathways)	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
Complement and Coagulation Cascades (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
TGF Beta Signaling Pathway (Wikipathways)	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	-1	-1
Heme Biosynthesis (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	0	-1	-1	1	1	1	1
Monoamine GPCRs (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	0	0
EPO Receptor Signaling (Wikipathways)	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	1	0	0	0	0
Interferon type I (Wikipathways)	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0
Delta-Notch Signaling Pathway (Wikipathways)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Senescence and Autophagy (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Type II interferon signaling (IFNG) (Wikipathways)	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0
Oxidative phosphorylation (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hypothetical Network for Drug Addiction (Wikipathways)	-1	-1	-1	-1	-1	0	-1	0	1	0	-1	0	-1	-1	-1	-1	0	0	-1	-1
ErbB signaling pathway (Wikipathways)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Arachidonate Epoxygenase / Epoxide Hydrolase (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
T Cell Receptor Signaling Pathway (Wikipathways)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tamoxifen metabolism (Wikipathways)	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Sulfation Biotransformation Reaction (Wikipathways)	1	1	0	-1	0	0	0	0	0	0	0	0	-1	-1	1	1	1	1	0	0
Arylamine metabolism (Wikipathways)	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
Benzo(a)pyrene metabolism (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
Estrogen metabolism (Wikipathways)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
Glucuronidation (Wikipathways)	1	1	1	1	0	1	0	0	1	1	0	-1	-1	-1	1	1	1	1	-1	0
Aflatoxin B1 metabolism (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
metapathway biotransformation (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Methylation Pathways (Wikipathways)	1	1	-1	0	-1	-1	-1	-1	0	0	0	-1	-1	-1	1	1	1	1	1	1
SIDS Susceptibility Pathways (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DNA damage response (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DNA damage response (only ATM dependent) (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Estrogen signaling pathway (Wikipathways)	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	-1	-1
Vitamin A and carotenoid metabolism (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serotonin HTR1 Group and FOS Pathway (Wikipathways)	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	1	1	1	1	-1	-1
Monoamine Transport (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Serotonin Receptor 4/6/7 and NR3C Signaling (Wikipathways)	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0
Toll-like receptor signaling pathway (Wikipathways)	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0
TCA Cycle (Wikipathways)	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
